year,age,educ,degree,sex,race,partyid,othlang,letin1a,coninc,wtssnrps,prez,age_c,decrease_imm
2010,31,16,3,1,3,1,1,3,66239.25,1.083752974,1,30,0
2010,23,16,3,2,1,1,2,2,13047.125,0.456877403,1,18,0
2010,71,8,0,2,2,0,1,4,17061.625,0.4624039,1,70,1
2010,82,10,0,2,1,6,2,3,7226.1,0.557622139,1,80,0
2010,78,0,0,2,2,3,2,,,1.286241834,1,70,
2010,40,6,0,1,2,0,2,1,9032.625,0.547025567,1,40,0
2010,46,16,2,2,2,2,2,,66239.25,0.546233796,1,40,
2010,80,15,2,2,2,1,2,2,17061.625,0.42427689,1,80,0
2010,31,14,1,2,2,0,2,,,5.171595255,1,30,
2010,,14,1,2,2,,2,1,,1.25744641,1,,0
2010,31,14,2,2,2,0,1,4,44159.5,1.88463687,1,30,1
2010,21,13,1,1,3,3,2,5,36130.5,3.180393728,1,18,1
2010,58,12,1,1,2,0,2,5,80290,0.660355825,1,50,1
2010,36,13,1,2,3,0,1,2,19068.875,0.816157482,1,30,0
2010,57,10,0,2,1,4,2,5,13047.125,0.923153553,1,50,1
2010,28,10,0,2,1,2,1,,3613.05,1.371418422,1,18,
2010,80,14,2,2,1,1,2,4,11039.875,0.511644012,1,80,1
2010,84,9,0,2,1,1,1,4,,0.448606074,1,80,1
2010,51,12,1,1,3,2,1,,54195.75,1.068273046,1,50,
2010,35,16,3,1,1,2,2,3,66239.25,0.451932286,1,30,0
2010,49,12,1,1,1,3,2,5,44159.5,0.563338879,1,40,1
2010,56,13,1,1,1,2,2,4,80290,3.246524759,1,50,1
2010,88,10,0,2,2,1,2,2,,0.372003161,1,80,0
2010,23,10,0,2,2,0,2,2,2810.15,0.381604114,1,18,0
2010,35,17,4,2,1,1,1,2,152908.1861,2.247914249,1,30,0
2010,26,16,3,2,1,3,1,,152908.1861,1.135806978,1,18,
2010,21,15,1,2,3,6,1,2,,1.012549793,1,18,0
2010,21,14,2,2,3,1,2,1,4415.95,0.556902386,1,18,0
