year,wrkstat,hrs1,hrs2,marital,martype,agewed,divorce,widowed,childs,age,degree,padeg,madeg,spdeg,major1,sex,race,born,parborn,babies,preteen,teens,adults,income,rincome,region,attend,postlife,happy,hapmar,health,manners,success,honest,clean,judgment,control,role,amicable,obeys,responsi,consider,interest,studious,mannersy,successy,honesty,cleany,judgmeny,controly,roley,amicably,obeysy,responsy,considey,interesy,studiouy,mannersz,successz,honestz,cleanz,judgmenz,controlz,rolez,amicablz,obeysz,responsz,considez,interesz,studiouz,obey,popular,thnkself,workhard,helpoth,chldsex,chldsex1,agedchld,partfull,jobinc,jobpay,sexeduc,arrest,loclived,god,racpromo,impfinan,kdeduc1,kdeduc2,kdeduc3,kdeduc4,kdeduc5,kdeduc6,kdeduc7,kdeduc8,kdeduc9,meltpot,hspasn10,immecon,immunemp,immunite,obrespct,balwkfam,hapfeel,sad,worried,showangr,angrywrk,wkfambiz,fambiz,typeorg,hlthinsr,mntlcare,immcrmup,immnew,immnojob,numcntct,numprobs,howfree,rhowfree,ethimp,ethdiff,wrktype,yearsjob,wkvsfam,famvswk,secondwk,overwork,wkracism,physhlth,height,misswork,natmeet,ownhh1,numemps,compwage,startbiz,ownbiz,numown,yearbiz,paidemps,bizgross,bizshare,owninc,whybiz,numemps5,agecmeus,marunion,hssexed,localgvt,unhappy,meovrwrk,jobvsfam,happy7,famwkbst,famwklst,educemp,hiinc,workweek,numemply,hapunhap,obeythnk,comtype,livecom1,citizen,parcit,ethclose,immimp,immcult,immeduc,immassim,chldeduc,hrdshp6,ethnic,uscitzn,famgen,talkspvs,wtssall
2008,1,45,,1,,,2,2,2,62,4,0,1,3,,1,2,1,0,0,0,0,2,12,12,2,8,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,2,3,,,,1,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,1,,0.875489503
2008,1,40,,5,,,,,0,40,4,0,0,,,1,2,2,8,0,0,0,1,12,12,2,0,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,2,3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,18,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,1,1,,0.437744751
2008,5,,,,,,,,1,62,3,1,1,,,2,1,1,8,0,0,1,1,11,,2,2,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,3,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,29,,2,,0.437744751
2008,5,,,1,,,1,2,4,71,1,1,1,1,,1,2,1,0,0,0,0,2,12,,2,0,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,4,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,30,,1,,0.875489503
2008,4,,,5,,,,,0,58,3,1,1,,,2,2,1,0,0,0,0,1,,,2,5,1,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,2,3,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,39,,1,,0.437744751
2008,7,,,1,,,2,2,4,34,4,3,0,1,,2,3,2,8,3,1,0,2,,,2,0,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,26,,,,,2,,,,,,,,,,,,,,,,,,,,,,40,1,2,,0.875489503
2008,1,55,,5,,,,,0,26,1,3,1,,,1,1,2,8,0,0,0,2,12,12,2,5,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,96,,,,,2,,,,,,,,,,,,,,,,,,,,,,40,2,1,,0.437744751
2008,7,,,1,,,2,2,4,33,1,1,3,3,,2,1,1,2,1,3,0,2,12,,2,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,3,2,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,2,,0.875489503
2008,1,20,,5,,,,,0,36,3,2,1,,,1,1,2,1,0,0,0,1,12,12,2,1,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,2,1,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,1,2,2001,1,9,1,9,2,50,12,4,,,,,,,,,,,,,2,,,,,,,,,,,,,15,1,1,,0.437744751
2008,2,40,,1,,,1,2,2,37,2,0,0,1,,1,3,2,8,2,0,0,2,12,12,2,2,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,5,1,2,,0.875489503
2008,5,,,1,,,2,2,3,52,1,0,1,4,,1,1,1,0,0,0,0,2,12,,2,0,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,2,3,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,15,,1,,2.135340251
2008,1,35,,3,,,,2,3,61,0,0,0,,,2,1,2,8,0,1,0,2,12,12,2,3,1,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,4,1,2,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,7,,,,,,,,,,,,,,2,,,,,,,,,,,,,15,1,5,,0.875489503
2008,7,,,1,,,2,2,2,63,1,0,,1,,2,1,1,1,0,0,0,2,12,,2,3,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,3,2,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,15,,1,,0.875489503
2008,5,,,1,,,2,2,2,74,1,0,1,1,,2,1,1,0,1,0,0,3,,,2,7,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,14,,4,,1.313234254
2008,7,,,2,,,2,,3,70,1,,1,,,2,1,1,0,0,0,0,1,,,2,0,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,3,4,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,14,,1,,0.437744751
2008,7,,,1,,,2,2,2,38,1,,1,1,,2,1,1,0,2,0,0,2,,,2,7,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,2,1,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,14,,2,,0.875489503
2008,1,40,,4,,,,2,2,32,1,,,,,1,2,2,8,0,0,0,2,12,12,2,5,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,3,1,4,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,,,,,,,,28,1,1,,2.135340251
2008,1,50,,5,,,,,0,42,4,4,4,,,1,3,1,8,0,0,0,2,12,12,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,3,2,,,,1,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,,,31,,1,,0.875489503
2008,1,80,,4,,,,2,5,41,2,,1,,,1,2,2,8,0,0,0,1,12,12,2,5,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,3,2,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2006,2,1,50,1,1,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,39,1,1,,0.437744751
2008,1,3,,5,,,,,0,45,4,3,1,,,1,1,1,0,0,0,0,1,12,12,2,3,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,1,1,1997,2,7,100,7,3,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,21,,1,,0.437744751
