year,wrkstat,hrs1,hrs2,marital,martype,agewed,divorce,widowed,childs,age,degree,padeg,madeg,spdeg,major1,sex,race,born,parborn,babies,preteen,teens,adults,income,rincome,region,attend,postlife,happy,hapmar,health,manners,success,honest,clean,judgment,control,role,amicable,obeys,responsi,consider,interest,studious,mannersy,successy,honesty,cleany,judgmeny,controly,roley,amicably,obeysy,responsy,considey,interesy,studiouy,mannersz,successz,honestz,cleanz,judgmenz,controlz,rolez,amicablz,obeysz,responsz,considez,interesz,studiouz,obey,popular,thnkself,workhard,helpoth,chldsex,chldsex1,agedchld,partfull,jobinc,jobpay,sexeduc,arrest,loclived,god,racpromo,impfinan,kdeduc1,kdeduc2,kdeduc3,kdeduc4,kdeduc5,kdeduc6,kdeduc7,kdeduc8,kdeduc9,meltpot,hspasn10,immecon,immunemp,immunite,obrespct,balwkfam,hapfeel,sad,worried,showangr,angrywrk,wkfambiz,fambiz,typeorg,hlthinsr,mntlcare,immcrmup,immnew,immnojob,numcntct,numprobs,howfree,rhowfree,ethimp,ethdiff,wrktype,yearsjob,wkvsfam,famvswk,secondwk,overwork,wkracism,physhlth,height,misswork,natmeet,ownhh1,numemps,compwage,startbiz,ownbiz,numown,yearbiz,paidemps,bizgross,bizshare,owninc,whybiz,numemps5,agecmeus,marunion,hssexed,localgvt,unhappy,meovrwrk,jobvsfam,happy7,famwkbst,famwklst,educemp,hiinc,workweek,numemply,hapunhap,obeythnk,comtype,livecom1,citizen,parcit,ethclose,immimp,immcult,immeduc,immassim,chldeduc,hrdshp6,ethnic,uscitzn,famgen,talkspvs,wtssall
2008,5,,,5,,,,,0,78,4,0,0,,,2,1,1,8,0,0,0,1,12,,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,4,,,,,,,,,2,,,,,,,,,,,,,23,,1,,0.437744751
2008,1,40,,1,,,2,2,2,54,1,0,0,2,,2,3,2,8,0,0,1,2,,,2,7,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,38,,,,,2,,,,,,,,,,,,,,,,,,,,,,38,2,2,,2.135340251
2008,1,40,,4,,,,2,2,49,0,0,0,,,1,3,2,8,1,0,0,2,,,2,3,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,38,2,5,,0.875489503
2008,1,38,,1,,,2,2,2,66,1,,,1,,2,1,2,8,0,0,0,1,11,11,2,0,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,38,1,1,,0.437744751
2008,,,,,,,,,,43,3,1,1,,,1,1,1,0,0,0,0,1,,,2,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,97,,1,,0.437744751
2008,1,50,,5,,,,,0,37,3,0,1,,,2,1,1,8,0,0,0,1,12,12,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,4,3,,,,1,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,12,,1,,0.437744751
2008,1,40,,1,,,2,2,1,30,3,,1,1,,2,3,2,8,0,1,0,2,,,2,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,28,,,,,5,,,,,,,,,,,,,,,,,,,,,,40,2,2,,2.135340251
2008,2,22,,1,,,2,2,2,53,2,4,3,1,,2,1,1,0,0,0,0,4,,,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,1,1,1982,2,,100,,3,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,15,,2,,1.750979005
2008,5,,,1,,,2,2,1,78,3,4,1,4,,2,1,2,8,0,0,0,2,,,2,3,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,4,1,2,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,35,1,1,,2.135340251
2008,6,,,1,,,2,2,0,38,3,3,1,1,,2,3,2,8,0,0,0,2,12,,2,7,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,10,,,,,2,,,,,,,,,,,,,,,,,,,,,,31,1,1,,0.875489503
2008,5,,,1,,,2,2,2,64,1,0,0,3,,2,3,2,8,0,0,0,2,,,2,7,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,4,1,2,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,40,1,1,,0.875489503
2008,7,,,1,,,2,2,4,60,1,0,0,1,,2,1,1,0,0,0,0,2,,,2,0,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,11,,1,,2.135340251
2008,1,40,,3,,,,2,2,55,1,,1,,,2,1,2,8,0,0,0,2,,,2,4,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,1,2,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,2,1,1,1988,1,,100,,1,,10,,,,,,,,,,,,,,2,,,,,,,,,,,,,38,1,1,,0.875489503
2008,1,40,,1,,,2,2,0,28,3,0,0,3,,2,1,1,8,0,0,0,2,,,2,5,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,4,3,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,15,,1,,0.875489503
2008,7,,,5,,,,,7,46,1,,0,,,2,2,1,0,1,3,1,1,,,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,1,3,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,4,,,,,,,,,2,,,,,,,,,,,,,1,,2,,0.437744751
2008,1,45,,1,,,2,2,2,38,4,1,1,3,,1,3,2,8,2,0,0,2,12,12,1,4,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,26,,,,,2,,,,,,,,,,,,,,,,,,,,,,31,2,2,,0.875489503
2008,1,60,,5,,,,,0,55,4,4,2,,,2,1,1,0,0,0,0,1,12,12,1,7,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,14,,1,,0.437744751
2008,1,32,,1,,,2,2,2,39,3,4,4,3,,2,1,1,0,0,2,0,2,12,11,1,0,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,2,3,,,,2,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,2,,2.135340251
2008,3,,35,5,,,,,2,39,1,2,0,,,2,1,1,2,0,0,0,3,11,12,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,4,3,,,,2,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,,,,,,,4,,,,,,,,,,,,,15,,1,,1.313234254
2008,1,50,,3,,,,2,2,44,4,4,1,,,1,1,1,0,0,0,0,1,12,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,3,2,,,,1,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,8,,1,,0.437744751
2008,1,32,,1,,,1,2,2,60,3,1,1,1,,2,1,1,0,0,0,0,2,12,12,1,7,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,2,4,1,,,,1,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,14,,1,,0.875489503
2008,2,30,,1,,,2,2,2,34,2,4,1,3,,2,1,1,0,2,0,0,2,12,12,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,2,3,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,1,1,2003,2,9,100,9,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,14,,2,,0.875489503
