age,age_cat,coninc,coninc_quantiles,degree,ethnic,hs_or_college,race,region,sex,talkspvs,year,vstrat,vpsu,wtsscomp
32,30-39,,,No degree,Mexico,HS or less,White,Pacific,Female,,2012,3058.0,2.0,0.82379626
44,40-49,6894.0,"(335.999, 18455.0]",No degree,Mexico,HS or less,Other,Pacific,Female,,2012,3058.0,2.0,1.23569439
30,30-39,12447.5,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,White,Pacific,Female,,2012,3058.0,2.0,1.747975242
33,30-39,16277.5,"(335.999, 18455.0]",No degree,Mexico,HS or less,White,Pacific,Male,,2012,3058.0,2.0,2.05949065
26,18-29,14362.5,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,White,Pacific,Male,,2012,3058.0,2.0,0.82379626
18,18-29,10532.5,"(335.999, 18455.0]",No degree,Mexico,HS or less,White,Pacific,Female,,2012,3058.0,2.0,0.82379626
48,40-49,76600.0,"(60354.0, 180386.0]",No degree,Mexico,HS or less,White,Pacific,Female,,2012,3059.0,1.0,1.23569439
80,70+,24895.0,"(18455.0, 36306.0]",No degree,Mexico,HS or less,Other,Pacific,Male,,2012,3059.0,1.0,0.82379626
36,30-39,3447.0,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,White,Pacific,Female,,2012,3059.0,1.0,1.23569439
51,50-59,,,HS or assoc,Africa,HS or less,Black,Pacific,Female,,2012,3059.0,2.0,0.41189813
74,70+,6894.0,"(335.999, 18455.0]",No degree,Mexico,HS or less,White,Pacific,Female,,2012,3060.0,1.0,0.41189813
67,60-69,42130.0,"(36306.0, 60354.0]",No degree,Mexico,HS or less,White,Pacific,Male,,2012,3060.0,1.0,1.23569439
35,30-39,14362.5,"(335.999, 18455.0]",No degree,Mexico,HS or less,White,Pacific,Female,,2012,3060.0,1.0,0.82379626
36,30-39,24895.0,"(18455.0, 36306.0]",HS or assoc,Mexico,HS or less,White,Pacific,Male,,2012,3060.0,1.0,0.41189813
58,50-59,28725.0,"(18455.0, 36306.0]",HS or assoc,Mexico,HS or less,White,Pacific,Female,,2012,3060.0,1.0,2.621962863
21,18-29,63195.0,"(60354.0, 180386.0]",HS or assoc,Mexico,HS or less,White,Pacific,Female,,2012,3060.0,1.0,2.05949065
41,40-49,34470.0,"(18455.0, 36306.0]",No degree,Mexico,HS or less,White,Pacific,Male,,2012,3060.0,1.0,1.23569439
44,40-49,28725.0,"(18455.0, 36306.0]",No degree,Mexico,HS or less,White,Pacific,Male,,2012,3060.0,1.0,1.64759252
55,50-59,178712.4649,"(60354.0, 180386.0]",College,Africa,Some college,Black,West South Central,Male,,2012,3061.0,1.0,0.82379626
39,30-39,91920.0,"(60354.0, 180386.0]",College,Africa,Some college,Black,West South Central,Female,,2012,3061.0,1.0,0.82379626
35,30-39,63195.0,"(60354.0, 180386.0]",HS or assoc,Africa,HS or less,Black,West South Central,Female,,2012,3061.0,1.0,2.621962863
43,40-49,34470.0,"(18455.0, 36306.0]",HS or assoc,Africa,HS or less,Black,West South Central,Female,,2012,3061.0,2.0,2.621962863
49,40-49,,,No degree,Mexico,HS or less,White,West South Central,Female,,2012,3061.0,2.0,0.82379626
54,50-59,18192.5,"(335.999, 18455.0]",HS or assoc,Africa,HS or less,Black,West South Central,Female,,2012,3061.0,2.0,0.41189813
52,50-59,1532.0,"(335.999, 18455.0]",No degree,Africa,HS or less,Black,West South Central,Female,,2012,3061.0,2.0,1.747975242
