year,age,educ,degree,sex,race,partyid,othlang,letin1a,coninc,vstrat,vpsu,wtssnrps,prez,age_c,decrease_imm
2010,50,13,1,2,1,1,2,5,54195.75,2250,1,1.48954917,1,50,1
2010,40,13,1,1,1,6,2,,112406,2250,1,0.895710072,1,40,
2010,42,20,4,2,1,2,1,,152908.1861,2250,2,0.56432932,1,40,
2010,19,11,0,2,3,3,1,,,2250,2,4.837580316,1,18,
2010,53,14,2,1,1,3,1,4,36130.5,2250,2,0.531099611,1,50,1
2010,39,14,2,2,1,0,2,5,36130.5,2250,2,0.454544281,1,30,1
2010,40,16,3,2,1,5,2,4,36130.5,2251,1,0.429341911,1,40,1
2010,44,12,1,2,1,3,2,3,112406,2251,1,3.62556725,1,40,0
2010,58,12,1,1,1,6,2,5,112406,2251,2,0.796336336,1,50,1
2010,46,14,2,1,1,3,2,3,54195.75,2251,2,3.137560076,1,40,0
2010,66,12,1,2,1,2,1,,96348,2251,2,0.511644012,1,60,
2010,48,18,4,2,1,0,2,4,152908.1861,2251,2,0.749830644,1,40,1
2010,88,12,1,1,1,5,2,5,66239.25,2251,2,1.113885841,1,80,1
2010,45,14,2,2,1,2,2,,54195.75,2251,2,0.633121365,1,40,
2010,38,12,1,1,1,6,2,4,,2251,2,0.519168105,1,30,1
2010,22,14,1,2,2,2,2,3,9032.625,2252,1,0.435226964,1,18,0
2010,23,16,3,1,1,2,1,,96348,2252,1,2.513537708,1,18,
2010,41,16,3,2,1,1,1,4,80290,2252,1,0.429341911,1,40,1
2010,23,12,1,2,1,3,1,,13047.125,2252,1,2.707564123,1,18,
2010,60,12,1,1,1,5,2,5,54195.75,2252,1,0.796336336,1,60,1
2010,80,6,0,2,1,4,1,1,30108.75,2252,1,0.833742347,1,80,0
2010,56,8,0,2,1,2,2,,30108.75,2252,2,2.292243185,1,50,
2010,43,16,3,2,2,1,1,3,,2252,2,1.839697881,1,40,0
2010,31,16,3,2,2,0,2,2,,2252,2,0.984338107,1,30,0
2010,24,8,0,2,1,0,1,,401.45,2252,2,0.572013694,1,18,
2010,39,16,2,2,2,0,2,5,112406,2252,2,1.688194503,1,30,1
2010,20,12,0,1,3,2,1,3,1605.8,2252,2,1.830144038,1,18,0
2010,55,16,3,1,3,3,1,,66239.25,2253,1,0.96239364,1,50,
2010,45,14,1,2,1,1,1,5,,2253,1,0.92263561,1,40,1
2010,50,12,1,1,1,3,2,,,2253,1,2.946826061,1,50,
2010,69,16,4,2,1,6,2,4,66239.25,2253,2,1.133507848,1,60,1
2010,50,16,3,2,3,0,1,,54195.75,2253,2,1.365921138,1,50,
2010,31,11,1,1,3,4,1,3,1605.8,2253,2,3.311617868,1,30,0
2010,59,12,1,2,1,3,1,3,44159.5,2254,1,0.981409634,1,50,0
2010,50,13,1,2,1,0,2,2,54195.75,2254,1,0.845437463,1,50,0
2010,51,16,3,1,1,5,2,5,152908.1861,2254,1,0.805520216,1,50,1
2010,68,12,1,2,1,5,2,2,54195.75,2254,1,1.736283063,1,60,0
2010,61,20,4,1,1,2,2,5,112406,2254,2,0.46231858,1,60,1
2010,50,16,3,2,1,0,2,3,,2254,2,0.502697284,1,50,0
2010,51,16,3,2,1,5,2,4,152908.1861,2254,2,1.318288944,1,50,1
